Имя,Ссылка,Цена
ReddCoin,https://coinmarketcap.com/currencies/reddcoin/,0.00123625852085
Loopring,https://coinmarketcap.com/currencies/loopring/,0.0427442492927
DigixDAO,https://coinmarketcap.com/currencies/digixdao/,16.6608541373
Dentacoin,https://coinmarketcap.com/currencies/dentacoin/,0.000102232549458
Aion,https://coinmarketcap.com/currencies/aion/,0.124026433379
Crypto.com,https://coinmarketcap.com/currencies/crypto-com/,2.0626494183
Linkey,https://coinmarketcap.com/currencies/linkey/,0.649048202719
Veritaseum,https://coinmarketcap.com/currencies/veritaseum/,15.7020350292
Horizen,https://coinmarketcap.com/currencies/zencash/,6.05089823559
BOScoin,https://coinmarketcap.com/currencies/boscoin/,0.0690429872332
Nebulas,https://coinmarketcap.com/currencies/nebulas-token/,0.67725901349
CyberMiles,https://coinmarketcap.com/currencies/cybermiles/,0.0401659867975
aelf,https://coinmarketcap.com/currencies/aelf/,0.109467227772
ProximaX,https://coinmarketcap.com/currencies/proximax/,0.00493348910731
Gemini Dollar,https://coinmarketcap.com/currencies/gemini-dollar/,0.995392019798
Zcoin,https://coinmarketcap.com/currencies/zcoin/,5.13936648855
Nxt,https://coinmarketcap.com/currencies/nxt/,0.029491962632
Digitex Futures,https://coinmarketcap.com/currencies/digitex-futures/,0.0399899988116
Dropil,https://coinmarketcap.com/currencies/dropil/,0.00135676611281
Loom Network,https://coinmarketcap.com/currencies/loom-network/,0.0478708189708
Power Ledger,https://coinmarketcap.com/currencies/power-ledger/,0.0729350804852
Smartlands,https://coinmarketcap.com/currencies/smartlands/,5.48750128964
TenX,https://coinmarketcap.com/currencies/tenx/,0.252589266698
Bitcoin Private,https://coinmarketcap.com/currencies/bitcoin-private/,1.31749891297
Elastos,https://coinmarketcap.com/currencies/elastos/,2.78589932556
Nectar,https://coinmarketcap.com/currencies/nectar/,0.309986925282
FunFair,https://coinmarketcap.com/currencies/funfair/,0.00449737583277
Dragonchain,https://coinmarketcap.com/currencies/dragonchain/,0.101020717551
Kin,https://coinmarketcap.com/currencies/kin/,3.11426386091e-05
WaykiChain,https://coinmarketcap.com/currencies/waykichain/,0.110495502059
BHPCash,https://coinmarketcap.com/currencies/bhpcash/,0.671601364415
Gas,https://coinmarketcap.com/currencies/gas/,2.16103179177
Kyber Network,https://coinmarketcap.com/currencies/kyber-network/,0.161860067544
Centrality,https://coinmarketcap.com/currencies/centrality/,0.0266839212605
Fusion,https://coinmarketcap.com/currencies/fusion/,0.718660635562
Eidoo,https://coinmarketcap.com/currencies/eidoo/,0.719712743827
Enigma,https://coinmarketcap.com/currencies/enigma/,0.276024769562
GoChain,https://coinmarketcap.com/currencies/gochain/,0.0317118420347
Bibox Token,https://coinmarketcap.com/currencies/bibox-token/,0.199489984739
Request Network,https://coinmarketcap.com/currencies/request-network/,0.0278785965793
Nasdacoin,https://coinmarketcap.com/currencies/nasdacoin/,1.08308237713
